Graduation Year,Concentration (or best guess),Prior CS background:,What gender do you identify with
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science/Statistics,"Taken at least one CS class, and intending to concentrate in CS",Male
2015,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,CS/Chem,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Neurobiology,"Taken at least one CS class, and intending to concentrate in CS",Female
2019,Math,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science/Economics,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,AM,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Math & Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,computer science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science + Mathematics,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science and Statistics,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,computer science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Gov,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,MechE,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2015,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science ,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Math and Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2019,Computer science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science and Government,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Applied Math / CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2016,Physics and Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Math/CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Applied Math/Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2016,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,HEB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,History & LIterature,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Psychology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Neurobiology ,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,BioEng,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,History,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,CPB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Economics ,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Neurobiology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Neurobiology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,engineering sciences (SB),"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Government,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,EE,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Slavic Languages and Literatures,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Government,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Applied Math/CS,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Molecular and Cellular Biology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Molecular & Cellular Biology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,CPB,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Physics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,English,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,MCB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Physics and Math ,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,OEB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Not CS,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Stat ,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,History of Art and Architecture,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Computer science (best guess),"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Chemistry and Physics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Gov,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Neurobilogy,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Neurobiology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,English,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Linguistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Astrophysics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Chemistry,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Applied Mathematics ,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,EE,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,CPB,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Applied Math and CS,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,History & Literature,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Religion,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Philosophy,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Government,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Bioengineering,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Math-Stats,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math in Economics and Computer Science,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Biomedical Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,physics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,BME,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Neuroscience,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Electrical engineering,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,English,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Chemical and Physical Biology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Human Evolutionary Biology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Chemical and Physical Biology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Mechanical engineering,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Neurobiology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Engineering Sciences,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Psychology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,BME,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Psychology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,EPS/ESE ,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,STEM,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Government,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Integrative Biology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Applied Math: Chem,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Molecular and Cellular Biology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,MCB,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Physics Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Mechanical Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,social studies,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Philosophy,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Government,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Applied Math - Computational Biology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,IB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Human Developmental and Regenerative Biology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Engineering Sciences,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Philosophy,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Biomedical Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Linguistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Physics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,hdrb,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,MCB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Psychology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Government,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Government,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,History and Literature,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Psychology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Neurobiology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Applied Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Sociology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Psychology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Electrical Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Linguistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Econ,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,"Electrical Engineering, SB","Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Environmental Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Chemistry,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,EAS,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Electrical Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Global Literature,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Ec,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,English,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,EE,"Taken at least one CS class, and not intending to concentrate in CS",Male
2015,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Applied Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Social Studies,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Bioengineering,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Applied math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Applied Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Applied math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Neurobiology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,History,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Human Evolutionary Biology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Biomedical Engineering (SB),"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Social Studies,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Engineering Sciences (SB),"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Psych,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,MCB,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Sociology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Electrical Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,MCB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Electrical Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Engineering Sciences,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Neurobio,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,linguistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,English and Government,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Physics + Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Applied Math w/ a focus in Economics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Electrical Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Economics ,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Physics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Folklore and Mythology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2015,Government,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,English,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Special Concentration in Atmospheric Sciences/Meteorology,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Bioengineering,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,MechE,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Bioengineering ,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Physics and Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Anthropology/Linguistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Psychology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Psychology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Astrophysics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Physics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Chemical and Physical Biology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Physics and Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math/CS,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Folklore and Mythology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Environmental Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,History of Science,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,Physics and math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,Neurobiology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Neurobiology,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,History of Science,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2016,BME,"Taken at least one CS class, and not intending to concentrate in CS",Male
2018,Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Applied Math ,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Economics ,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Social Studies,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2017,Mathematics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,MCB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2017,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Chemistry And Physics,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,statistics ,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,oeb,"Taken at least one CS class, and not intending to concentrate in CS",Female
2019,Economics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,N/A,Never taken CS at Harvard,Female
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Applied Math,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,WGS,Never taken CS at Harvard,Female
2019,HEB,Never taken CS at Harvard,Female
2019,Government,Never taken CS at Harvard,Female
2019,AM + Econ,Never taken CS at Harvard,Male
2019,Government,Never taken CS at Harvard,Female
2019,MCB,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,HDRB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2016,History and Literature,Never taken CS at Harvard,Female
2019,Economics,Never taken CS at Harvard,Male
2019,IB,Never taken CS at Harvard,Female
2019,Molecular & Cellular Biology,Never taken CS at Harvard,Male
2017,HEB,"Taken at least one CS class, and not intending to concentrate in CS",Female
2018,Electrical Engineering,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,Economics,Never taken CS at Harvard,Male
2019,Government,Never taken CS at Harvard,Female
2019,English (best guess),Never taken CS at Harvard,Female
2019,Government ,Never taken CS at Harvard,Male
2019,Neurobiology,Never taken CS at Harvard,Female
2017,human evolutionary biology,Never taken CS at Harvard,Female
2019,Cs,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Statistics,"Taken at least one CS class, and not intending to concentrate in CS",Male
2019,economics ,Never taken CS at Harvard,Female
