Timestamp,Graduation Year,Concentration (or best guess),Prior CS background:,"Have you ever considered taking a computer science course? If not, why not? If you have considered it, why did you decide not to take it?","If not, why not?","If you have considered taking a CS class, why did you decide not to take it?",Do you have plans to take any CS courses in the future?,Are you interested in getting a:,"In your opinion, should some programming knowledge be a requirement for graduation? If not, why not? If so, why?",Are you interested in pursuing a job with a quantitative focus after graduation?,What three words describe a computer science concentrator?,What made you decide to take your first CS course?,"Were there previous semesters in which you thought about taking a CS course but did not? If so, what stopped you from taking it before?",What were your impressions of the CS DEPARTMENT before you took your first class? After?,What were your impressions of CS students before you took your first class? After?,What was the best part of taking your first CS class?,What was the worst part of taking your first CS class?,"Do you think you‰Ûªll take another CS class? If so, why? If not, why not?",What three words would you use to describe a computer scientist concentrator?,Are you a CS Concentrator?,What CS classes have you taken?,How many years have you been programming?,What age did you start?,"Compared to others in your CS classes, you find your classes:",How good are you at programming compared to others in the CS classes you've taken?,How often do you go to office hours on average for your CS classes?,,How often do you think the average CS student goes to office hours?,How accessible is help in your CS classes?,How often do you interact with your CS professors outside of class?,How often do you interact with your CS class course staff?,"For a CS class with lectures twice a week, you attend lectures on average:","For a CS class with lectures twice a week, the average student attends lectures:",How involved do you feel with the CS community at Harvard?,"Do you consider yourself a member of any tech student organizations on campus? If yes, specify which ones.",How easy is it to find partners to work with on psets or final projects?,Are there any specific classes in which finding partners has been hard?,How have you met people to work on class material with?,What will you most likely pursue after graduation?,"If you are a sophomore, junior, or senior, what did you do last summer?",How stressful is the process of finding a summer internship/ job?,What three words would you use to describe a computer science concentrator?,What gender do you identify with,"By your estimates, is there a gender gap in enrollment in CS classes?","If yes, what factors (related or unrelated to college) do you think cause this gap?","If yes, what is the impact of this gender gap on your experience of CS at Harvard? ","Do you have a role model and/or mentor in CS? If so, who? ",I like CS because I am interested in the CS problems I get to think about and solve.,"Do you feel you have a mentor in CS? If so, who?","Who would you ask for CS help, if anyone?",I like CS because it gives me a tool to make a difference in other areas I care about.,I like CS primarily for some other reason:,How good are you at CS theory compared to others in the CS classes you've taken?,Secondary (if applicable),What subfield in tech industry would you be interested in working in?,What subfield in tech industry would you be interested in working in?,What will you most likely pursue after graduation?,What type of graduate school are you interested in?,What is your estimated concentration GPA?,What race(s) do you identify with?,How accessible are professors in your CS classes?,How accessible are teaching fellows in your CS classes?,Do you feel like you need more support in CS from:,,"Do you have a role model and/or mentor in CS? If so, who? ",Do you feel like you get the support you need for CS in terms of:,What subfield in tech industry would you be interested in working in?,,Are you a CS concentrator or intending to be a CS concentrator? ,Any comments on the accessibility of help?,How often do you interact with your professors?.
10/17/2015 23:40:47,2018,Neurobiology,Never taken CS at Harvard,"Yes, I have considered it but haven't taken it because I don't have room in my schedule yet. I'm going to take CS50 next year.",,,Yes,None of the above,"No, it should not be a requirement for graduation because it would force students to take a class that they may not want/need to take.",No,"Intelligent, Passionate, Disciplined",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,Societal constructions of femininity cause barriers and discourage women to pursue CS.,"I'm not sure what impact is specifically for me, but it does have an impact for women joining the CS field.",,,,,,,,Linguistics,,,,,,Asian,,,,,,,,,,,
10/18/2015 0:18:07,2018,Psychology,Never taken CS at Harvard,No--I haven't heard anything positive about CS classes here,,,No,None of the above,NO--ain't nobody got time for that,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,GENDER INEQUALITY--THE PATRIARCHY,N/A,,,,,,,,African American Studies,,,,,,Prefer not to respond,,,,,,,,,,,
10/18/2015 3:45:56,2017,Gov.,Never taken CS at Harvard,yes,,,Yes,None of the above,yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,"stereotypes,society,culture",: (,,,,,,,,,,,,,,Hispanic or Latino,,,,,,,,,,,
10/18/2015 4:00:50,2018,Applied math,Never taken CS at Harvard,"I will take as much as I need for applied math, but I am not interested in computer science as such",,,Yes,None of the above,"No. That would be kind I crazy, given how many different things this school has to offer. For many people on this campus, Cs is no more important for them than the other classes they would take",No,"Ambitious, smart, driven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,Conditioningn,No experience,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 8:32:58,2018,History,Never taken CS at Harvard,"Yes, because it seems very applicable in the world today. I didn't because it seemed a little out of touch for a humanities focused person. ",,,No,None of the above,"No, I don't think it needs to be a requirement, I think it could be more incorporated into the gen ed program though ",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,"I would say that it is a product of society that women have more difficulty entering into more science and math based fields. It is primarily based in gender stereotypes, however I do think that many people are pushing back against this. ",I haven't taken a cs course so it hasn't impacted me specifically. ,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 10:50:21,2017,HEB,Never taken CS at Harvard,Taking it in the future when I have more space in my schedule for electives,,,Yes,None of the above,No - not necessarily applicable to all careers,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,More males interested in CS related fields,Can be intimidating for women to take CS classes,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/18/2015 12:24:45,2016,Human Developmental and Regenerative Biology,Never taken CS at Harvard,"Yes, but I decided not to take it because I was scared that I would not have enough time",,,Yes,None of the above,I think it should be in today's day and age because it is becoming increasingly important in all aspects of life,Yes,"Smart, dedicated, tenacious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,I have no idea,I have no CS experience at Harvard,,,,,,,,Psychology,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 12:44:32,2018,Economics,Never taken CS at Harvard,"Yes, CS50",,,Yes,CS Secondary,Yes,Yes,"logical, mathematical, detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Expectation,No gap at Harvard,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/18/2015 12:50:06,2018,OEB,Never taken CS at Harvard,I would like to learn to code but I do not like the culture of CS50.,,,Yes,None of the above,Not sure.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Misogyny.,Makes it less safe.,,,,,,,,Philosophy,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 13:19:26,2018,Sociology ,Never taken CS at Harvard,Although it seems very useful and applicable it seems like you need to have at least some previous knowledge to be successful ,,,No,None of the above,"Yes, there is an increasing need for knowledge in technology ",No,"Smart, busy, geek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,Hard to pin point ,Seems more intimidating ,,,,,,,,Economics ,,,,,,Hispanic or Latino,,,,,,,,,,,
10/18/2015 13:26:34,2016,Social Anthropology,Never taken CS at Harvard,"No, because I've never been particularly interested in computer science, and it doesn't seem necessary to be a physician/anthropologist.",,,No,None of the above,"Yes, it should. But there should be an alternative to CS50 for people who just want to learn basic coding without investing as much time / taking up a course slot for those who have other interests. ",No,"project-oriented, collaborative, creative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,"Perceptions of CS as a male field, something that males are inherently better at, and the reverse perception for women.","I haven't experience CS at Harvard, but maybe if I were a guy I would have felt more confident in / drawn to CS.",,,,,,,,,,,,,,Black or African American,,,,,,,,,,,
10/18/2015 13:28:28,2017,Joint Sociology and African Studies,Never taken CS at Harvard,"Yes. I considered taking CS50. But then I heard horror stories about the time commitment and I just did not think it was worth it. CS50 also offered CS50x which allows me to go at my own pace. Whenever I get a break, I try to dabble back in the best I can.",,,No,None of the above,"Not sure what the basis is for this question, but definitely not a requirement. I think it should be strongly encouraged for non-CS concentrators to consider how their concentration can harmonize with CS. Likewise, I think CS concentrators can really improve how they think about how technology can serve the greater community by finding inspiration in another field.",No,Busy for eons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,5,"I mean it doesn't really feel great when you are interested in something and no one in the class looks like you. I infer this deters some people away. Also, a lot of more privileged groups in the classes tend to exacerbate the difference by intentionally/unintentionally making others feel uncomfortable.",I don't think it's really affected me that much. But I definitely see the disproportionate enrollment as a barrier for those looking to find support and comfort in their classes.,,,,,,,,,,,,,,Black or African American,,,,,,,,,,,
10/18/2015 13:31:10,2016,VES,Never taken CS at Harvard,"Not -- intimidated by pace/speed of the curriculum. As someone with very basic CS experience, it was hard to distinguish if there was any exaggeration from peers who claimed that their lives were CS50.",,,No,None of the above,"It would certainly be helpful, but I believe as is, the graduation requirements are too much. It would be ideal if, like CS50, programming counts/substitutes for one of the existing credits, but not as an addendum.",No,"tech-y, start-up-y, innovative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,The persistent idea that more science/math/engineering-based disciplines preclude females --> feedback loop.,"I've found the Women in CS e-mailing group helpful, but it's very distracting when the people/recruiters who are in CS roles at various studios/companies who come to speak on-campus are overwhelmingly male (or that women seem to only take on production or exec roles).",,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/18/2015 13:56:19,2016,Government,Never taken CS at Harvard,"I am considering taking one next semester, however, because I believe it's a valuable skill. However, I think it may bee too difficult and time intensive 
",,,Yes,None of the above,"No - i think before that, all students should be required to take a class on sexism and racism and how prevalent that still is. ",No,"Nerdy, smart, disciplined",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Not sure ,Not sure ,,,,,,,,Global Health,,,,,,Asian,,,,,,,,,,,
10/18/2015 14:19:50,2018,Sociology,Never taken CS at Harvard,No. I was not interested in computer science.,,,No,None of the above,No. It would be as strange to navigate as other general education requirements.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,Lack of support,"I don't have any experience with CS at Harvard, but most of the people I know who took CS50 are not men.",,,,,,,,,,,,,,Hispanic or Latino,,,,,,,,,,,
10/18/2015 15:09:30,2017,Anthropology,Never taken CS at Harvard,"I wanted to take CS50, but it seemed like a heavy workload. ",,,Yes,None of the above,"Yes, because it is very helpful in securing jobs.",No,"Focused, Ambitious, Hardworking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,American culture,It is more difficult to find women to talk to about their experience with CS,,,,,,,,"Ethnicity, Migration, Rights",,,,,,"Asian, Caucasian",,,,,,,,,,,
10/18/2015 15:09:54,2017,Chemistry,Never taken CS at Harvard,"Yes, but I've been intimidated by the workload and it hasn't been a real priority",,,Yes,None of the above,"Yes, because with the environment we live in, this knowledge is a necessity",Yes,"busy, tired, smart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,5,Oppression from men,The gender gap makes me want to leave with CS knowledge even more,,,,,,,,Music,,,,,,Asian,,,,,,,,,,,
10/18/2015 15:11:25,2017,Government and South Asian Studies,Never taken CS at Harvard,"I have considered taking cs50, but it seems like a really large time commitment, which I don't have as someone with a joint concentration. I'm also not confident that I have the technical skills to be successful in that class. ",,,No,None of the above,"It is definitely an important skill to have in an increasingly technology-oriented world. However, if it were to be so, the ""norm"" class should be a lot easier than cs50.",No,"practical, diverse, focused",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,High schools do not promote women in STEM.,My roommate is a CS concentrator and she has told me about the gender gap - that's about the extent of my knowledge.,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/18/2015 15:11:34,2016,English,Never taken CS at Harvard,"Yes, I considered taking CS50 for a Gen Ed requirement but ended up choosing not to because I prefer to take humanities-based courses anyway. CS50 also seemed a little overwhelming in terms of its ""fanbase""",,,No,None of the above,I think programming is definitely important but it should not be a requirement. Having CS50 fulfill a Gen Ed already adds enough incentive,No,"Progressive, engineer, Google",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,2,"The structural oppression of women on the basis of masculine empowerment. Overtime women are pressured to believe that they ""can't"" do a tech job. See: fake geek girl myth",I frankly haven't felt the impact ,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 15:11:48,2017,cognitive neuroscience,Never taken CS at Harvard,CS50; seemed too slick,,,No,None of the above,nope,No,many Harvard students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,1,n/a,n/a,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 15:12:21,2018,AAAS,Never taken CS at Harvard,"Yes, I have. Worried mainly that the time commitment would be to great and that it would be too heavily quantitative. ",,,No,None of the above,"Yes; it's a vital, practical skill in the 21st century global economy. ",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,4,Women do not enter Computer Science from the outset of their Harvard careers. Perhaps this gap stems from factors early on (i.e. preschool) that shape one's thinking about CS well before Harvard. ,has not affected me directly. ,,,,,,,,Economics,,,,,,Black or African American,,,,,,,,,,,
10/18/2015 15:18:31,2017,Social Anthropology,Never taken CS at Harvard,"I'm not personally invested in learning CS for myself. While it may be useful, I think the stakes are too high in terms of putting unnecessary stress on myself to take a course at Harvard. ",,,No,None of the above,No. ,No,focused creative independent ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,I'm not sure if there is a gap--though I imagine there is...,n/a,,,,,,,,,,,,,,Hispanic or Latino,,,,,,,,,,,
10/18/2015 15:18:50,2018,Philosophy,Never taken CS at Harvard,I'm taking it next semester.,,,Yes,None of the above,"No, it's not needed for most jobs that most people. If it was, it should replace one of the gen ends.",Yes,No I dea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,IDK if there is a gap as I've never taken a cs class. I just had to put a number for the previous question.,IDK,,,,,,,,,,,,,,Black or African American,,,,,,,,,,,
10/18/2015 15:19:18,2018,english,Never taken CS at Harvard,"yes, but Iå«m not sure taking just one course would teach me enough coding",,,No,None of the above,Please. ,Yes,"male, entitled, privileged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,general machismo in CS,I haven't taken CS,,,,,,,,stat ,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 15:26:45,2018,Neurobiology,Never taken CS at Harvard,"No, it is not required for med students",,,No,None of the above,"Yes, it would be useful to know, because everyone has to work with computers at some point, so you might as well know how to program one.",No,"Obsessive, focused, intense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,2,The level of ambition of the students,I have no experience with CS at Harvard,,,,,,,,,,,,,,Black or African American,,,,,,,,,,,
10/18/2015 15:27:53,2018,HDRB,Never taken CS at Harvard,I'm waiting until my schedule is lighter to accommodate CS50.,,,Yes,CS Secondary,"No, because it's unfair to those who really have no interest. The Gen Ed requirements are difficult enough. ",Yes,Analytical Dedicated Sleep-Deprived ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,"Traditionally, women are excluded from hard science/ mathematical subjects. I think Harvard does work to make communities inclusive, but there will be a disparity until there is cultural change to combat sexism in the school and workplace. ","n/a (until next semester)
However, I would assume it makes it more difficult for women to find sections or jobs safe and inclusive. ",,,,,,,,CS,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 15:30:16,2017,Integrative Bio,Never taken CS at Harvard,I didn't have time to take a cs course before,,,Yes,None of the above,I don't think so - I feel as though that's very constricting,No,"Hard-working, tired, studious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,5,Women aren't encouraged to go into computer science or are actively discouraged,I've never been interested in computer science - I've been premed since birth pretty much - so it hasn't really affected my personal experience,,,,,,,,GHHP,,,,,,Black or African American,,,,,,,,,,,
10/18/2015 15:30:30,2018,Interactive biology,Never taken CS at Harvard,I have considered taking a cs course. I believe that it will be useful in the developing world. It is applicable in many fields and even an introductory course would help understand new technologies and how they work. ,,,Yes,None of the above,No. Not everyone enjoys cs and it is not applicable in all fields. ,No,"Hardworking, dedicated, smart ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,I just think that there are more males in the class. There are also more males enrolled in the college. ,No impact. ,,,,,,,,,,,,,,"Caucasian, Hispanic or Latino",,,,,,,,,,,
10/18/2015 15:37:15,2016,History and Literature,Never taken CS at Harvard,"No, I took a very fundamental CS course in high school, and found that I would rather use my computational skills in Math. ",,,No,None of the above,"No, I don't think so. There are many careers that don't require that CS knowledge.",No,"focused, determined, patient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,"The hiring pool is overwhelmingly male, from what my friends say. Hence, there is less incentive for female students to study CS","I am not directly impacted; however, several of my friends tell me about these trends. Also, I have attended information/recruiting sessions that specifically mention the gender gap and are trying to work on closing the gap (just now). ",,,,,,,,,,,,,,"Black or African American, Caucasian, Native Hawaiian or Pacific Islander",,,,,,,,,,,
10/18/2015 15:40:46,2016,Ec,Never taken CS at Harvard,"It seems to be quite time consuming, and since I already have an elementary background from high school, and it doesn't really relate to my concentration, I decided not to take one.",,,No,None of the above,"It depends. I've done a lot of R, which is a programming language, for my stat classes, but they don't count as CS courses. So it would depend on what the requirements are. I do think that some background is useful.",Yes,"Tech, Programming, Computers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,2,"Probably interest? I don't think there's really a gap though because I do know a lot of females taking CS, but that might be because I'm a female.",Not much.,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/18/2015 15:50:51,2016,Psychology ,Never taken CS at Harvard,Have not ,,,No,None of the above,No. Because not everyone needs programming knowledge. Then everyone should have acting knowledge or music knowledge. ,No,"Analytical, cutthroat, pompous ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,5,I don't know I don't take cs classes and this is required question ,I don't know I don't take cs classes and this is required question,,,,,,,,Tdm,,,,,,Black or African American,,,,,,,,,,,
10/18/2015 15:53:55,2016,Neuro,Never taken CS at Harvard,"no, because not applicable to my interests or future plans. i would much rather direct the coding and creative process",,,No,None of the above,"slightly, but it depends on what people want to end up doing. often times, there are so many programs that let you do it yourself, like squarespace etc. ",No,"analytical, boring, nerdy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,5,"stigma, culture, girls don't want to enter a field that has nerdy dudes, girls are shat on by guys in the field, ","i don't know ANY (READ: ANY) many female coders here who are neither asian or international, or any combo. of the two ",,,,,,,,GHHP,,,,,,Hispanic or Latino,,,,,,,,,,,
03/11/16 11:16,2018,HDRB ,Never taken CS at Harvard,Did not take CS50 this fall because it would consume all my time. I would take CS50 in a year where I do not have as many responsibilities and hard classes. Hopefully such a year will be available in the future! ,,,Yes,None of the above,"Yes. The way technology is moving, even biologist should have an idea of how to use programming to model biological functions. Programming is also important for humanities because it gives you a way to manage large amounts of data. ",Yes,"solitary, diligent, quirky ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,"Male-dominated fields tend to try to maintain their status quo and are passive-aggressive or micro-aggressive to women who try to enter them. For example, a recent survey revealed silicon valley has gender-equality and sexism problems. I also think men who only interact socially with men do not develop mature social relations with women, so in a field that was previously mostly men, those men are now facing the challenge of learning how to treat women as people and not conceptual figures. ","I think Harvard is a good place to begin CS because people are sort of on equal footing and I think the college-age generation is getting less and less sexist. However, I do find that some guys who didn't have friendships with women in high school are still trying to deal with working with women. They only see women as the roles women play in the media and have dissonance when they meet a woman who does more than play the role of an emotional crutch or sex symbol.  ",,,,,,,,Chemistry,,,,,,transracially adopted,,,,,,,,,,,
10/18/2015 16:06:51,2018,Social Studies,Never taken CS at Harvard,"Not at Harvard. I could never bring myself to take the course over others I'd be more interested in, and I feel like I could learn some coding skills through other resources (code academy, etc)",,,No,None of the above,No. Not all futures will include programming and even those that will include some coding will probably be specialized such that they will teach you the particular skills needed for the project.,No,Interested in tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Social norms and expectations. ,None because I haven't taken any CS,,,,,,,,Philosophy,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 16:17:30,2018,Mathematics/Physics,Never taken CS at Harvard,Yes. Did not take for too much time.,,,Yes,None of the above,Yes. Programming is useful.,Yes,"Dumbre than a math concentrator, boring, stupid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,4,I wrote the article about this......,None,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/18/2015 16:18:23,2016,OEB,Never taken CS at Harvard,Yes but no room in schedule and not required,,,No,None of the above,I think it should be simply because it gives you the tools to do apply your knowledge more broadly,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,1,no,no,,,,,,,,English,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 16:19:35,2016,History & Literature,Never taken CS at Harvard,"I wanted to take CS50, but I wasn't able to shift my schedule to accommodate such a demanding/time-consuming class in the fall.",,,No,None of the above,"Yes, it's a universal language that we all rely on for our daily lives.",No,High earning potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,"Women intimidated by the subject, see it as challenging. Less social career option. Seen as nerdy. Women don't want to be the only woman in classes","I have fewer female friends who take CS, so I've felt less pressure/interest in it.",,,,,,,,WGS,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 16:21:38,2018,Government,Never taken CS at Harvard,I hate the prevalent all-nighter culture that surrounds CS,,,No,None of the above,"Yes, but it should be done in a healthier way",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Stereotypes,Less women involved,,,,,,,,"Ethnicity, Migration, and Rights",,,,,,Caucasian,,,,,,,,,,,
10/18/2015 16:25:37,2018,MCB,Never taken CS at Harvard,"Yes, I have. I considered taking CS50, but as a pre-med, there were other courses that took higher priority in getting completed. CS50 is a time-consuming class, as are many other pre-med classes. I wanted a balanced schedule, so I opted to take CS50 when I have a lighter semester (hopefully Senior Fall).",,,Yes,None of the above,"Definitely not. I think it is a useful skill to have, but there are just so many other fields in the humanities for which programming is just useless. You cannot say that someone who wants a career in academia in biblical studies will find the ability to code useful. While it is useful for many fields, it is not useful for all fields. You cannot force students to learn this skill. ",No,"Analytical, Cutthroat, Busy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,"Not enough female CS faculty role models
General female gender role norms (i.e., must consider ability to care for family when choosing a career, etc.) that males are not subjected to.","The gender gap has not affected my experience of CS here but only because I am pre-med. If I was not, I would easily be less interested in CS simply because it's so stereotypically male dominated. I cannot name 1 female CS faculty member who is as famous as the male ones. That may be just me, but I think it is an issue.",,,,,,,,Government,,,,,,Asian,,,,,,,,,,,
10/18/2015 16:28:52,2017,History & Literature,Never taken CS at Harvard,"Yes but I realized that I wouldn't enjoy the work and, thought it would be nice to have it as a skill, I don't see it as being necessary to any job that I'm interested in.",,,No,None of the above,"No, it's pre-professional focus deviates from Harvard's purpose as a liberal arts institution.",No,"career-oriented, methodical, stressed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,2,"Based on my friends, I think that there might be a small gap but only because of the perception that it's a male dominated field.",None,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 16:36:00,2018,Folklore and Mythology,Never taken CS at Harvard,No. Computer science sounds really boring and difficult. ,,,No,None of the above,"No, because while I think all knowledge is good, I don't think programming will be something that everyone will use in the future. I hope not anyway, because if not, I'm screwed. ",No,"Analytical, creative, tired.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,"I think the way young girls are socially conditioned when they are young plays into whether they pursue CS. I, for example, was told by my maths teacher that I was never going to be great at maths because I was bad at visualising shapes - which he called 'a girl thing'. I would never have pursued maths anyway, because I find it boring, but I do think it's easy to internalise that you aren't good at something and therefore shouldn't bother.","The gender gap is present in most STEM classes, so nothing about CS specifically. I think it just plays into my idea about CS being kind of corporate - which I also think I subconsciously associate with men. ",,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 16:41:34,2016,Comparative Literature,Never taken CS at Harvard,No because programming does not appeal to me and the cult behind CS50 puts me off,,,No,None of the above,"No, because I do not think it is required knowledge for getting on in the world",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,Traditionally a male area of study,None - it does not put me off any further,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 16:46:09,2018,"Theater, Dance, and Media",Never taken CS at Harvard,"I don't feel like computer science will serve me as a theater artist, or at all in the humanities. ",,,No,None of the above,"No, because it is not necessary in all professions, like the arts. ",No,"Smart, busy, dedicated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,2,I think men are more encouraged to pursue the STEM fields. ,"Doesn't really impact me, except maybe skew more women towards the humanities, which isn't such a bad thing for me. ",,,,,,,,Russian Studies,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 16:49:01,2016,OEB,Never taken CS at Harvard,"Yes considered, but didn't take it because too time-intensive for intro class.",,,No,None of the above,"Not a requirement because we don't make anything else required besides writing, but highly suggested/more incorporated into the Gen-eds",No,"Intense, focused, creative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,2,"Stereotypes about ""computer-science"" people and precedent of who is represented in science fiction",Doesn't compel me to take a CS class,,,,,,,,History,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 16:51:15,2017,Sociology & WGS,Never taken CS at Harvard,No.,,,No,None of the above,"No, because it's a specific skill set that not everyone needs to know.",No,"diverse, smart, stupid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,4,Pipeline barriers for girls from pre-college years.,The students who study CS are less diverse than they could be. ,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/18/2015 16:59:44,2016,Neurobiology,Never taken CS at Harvard,"Yes, but I decided not to take it because it was very daunting. But I did do a bit of coding (kind of) in R in a stat class and I found it very interesting. ",,,No,None of the above,Yes--it's such an important field for understanding how all the computer programs we use work!,No,"tech-y, smart, specific",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,The fact that boys are more exposed to technology and coding while growing up with video games,I have had no experience,,,,,,,,,,,,,,Hispanic or Latino,,,,,,,,,,,
10/18/2015 17:01:29,2017,Romance Languages and Literaures,Never taken CS at Harvard,"It does not fit into my schedule, and I do not have the time to devote to a class like CS50.",,,Yes,None of the above,"No, though it is useful, programming should not be necessary for graduation. Harvard is a liberal arts college that should allow students to study the areas they are passionate about.",No,"Dedicated, nerdy, tired",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,2,"Less exposure to CS for women prior to college, and therefore less interest. A perception that CS is a male-dominated field.",I am less likely to take a CS class the lower the percentage of other women in the course.,,,,,,,,Economics,,,,,,Caucasian,,,,,,,,,,,
10/18/2015 17:03:49,2018,Social Studies,Never taken CS at Harvard,"Yes, but it hasn't worked with my schedule yet.",,,Yes,None of the above,No,No,"narrow-focused, quantitative, very smart but not necessarily intellectual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Societal stigmas that engender a lack of confidence in females.,Secondhand - hearing my female friends' (in CS classes) complaints and insecurities,,,,,,,,Global Health and Health Policy,,,,,,Asian,,,,,,,,,,,
10/18/2015 17:07:01,2018,Neurobiology ,Never taken CS at Harvard,"No, I haven't considered a concentration in CS because of how difficult it appears to be to others, even students with a strong CS background.",,,No,None of the above,"No, programming knowledge shouldn't be a requirement. I don't understand why such knowledge should be a requirement and other knowledge not.",No,"Hardworking, pset-er, proactive ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,Most jobs that require programming knowledge are dominated by males.,None,,,,,,,,,,,,,,Hispanic or Latino,,,,,,,,,,,
10/18/2015 17:11:46,2016,Social Studies,Never taken CS at Harvard,"No. I think people are excessively obsessed or tricked into taking CS50. I don't think it's particularly useful to just take one CS class and never do so again. If someone is interested in it professionally, it would seem people should take more than one course. For me, it'd be an elective alone, and I wouldn't put the course to good use professionally. ",,,No,None of the above,Absolutely not. Programming is great but it's by no means a panacea. It does not make sense to require other students who will go on in theoretical or empirical albeit not programming-related fields. ,No,Rigid; CS50; computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Less exposure to CS; diversion of girls in elementary school away from field;,none,,,,,,,,Psychology,,,,,,Caucasian,,,,,,,,,,,
